Date,Open,High,Low,Close ,Adj Close ,Volume
"Jan 5, 2026",742.80,743.15,733.50,735.80,735.80,36779.00
"Jan 2, 2026",738.80,754.30,734.40,740.25,740.25,131366.00
"Jan 1, 2026",755.00,764.95,728.20,739.55,739.55,80557.00
"Dec 31, 2025",732.50,760.00,732.50,754.70,754.70,231445.00
"Dec 30, 2025",715.65,747.60,710.05,732.35,732.35,303843.00
"Dec 29, 2025",709.85,723.20,700.45,717.70,717.70,55180.00
"Dec 26, 2025",720.95,728.05,705.20,709.85,709.85,63140.00
"Dec 24, 2025",709.75,738.90,707.45,721.25,721.25,322471.00
"Dec 23, 2025",694.80,709.45,686.30,706.35,706.35,145947.00
"Dec 22, 2025",704.95,718.50,689.85,698.80,698.80,90797.00
"Dec 19, 2025",660.90,717.30,655.70,700.10,700.10,189831.00
"Dec 18, 2025",660.00,673.15,651.05,662.20,662.20,95098.00
"Dec 17, 2025",675.75,687.00,658.00,660.90,660.90,54520.00
"Dec 16, 2025",680.65,693.30,672.00,675.70,675.70,148036.00
"Dec 15, 2025",645.75,690.50,641.10,685.60,685.60,247923.00
"Dec 12, 2025",648.75,659.35,642.10,645.60,645.60,34927.00
"Dec 11, 2025",640.60,659.50,639.90,644.55,644.55,98162.00
"Dec 10, 2025",652.20,661.50,637.00,643.95,643.95,157553.00
"Dec 9, 2025",674.00,674.00,638.30,649.00,649.00,213738.00
"Dec 8, 2025",676.65,683.95,661.55,678.90,678.90,127770.00
"Dec 5, 2025",672.30,680.65,663.25,674.45,674.45,51086.00
"Dec 4, 2025",685.85,696.25,661.40,670.25,670.25,110612.00
"Dec 3, 2025",687.75,691.65,667.20,680.40,680.40,66961.00
"Dec 2, 2025",709.00,709.00,680.05,684.85,684.85,104423.00
"Dec 1, 2025",718.50,724.90,701.70,708.25,708.25,185590.00
"Nov 28, 2025",714.00,721.00,692.15,718.50,718.50,176177.00
"Nov 27, 2025",693.45,718.30,693.45,710.90,710.90,134450.00
"Nov 26, 2025",684.00,699.00,670.20,692.45,692.45,180915.00
"Nov 25, 2025",675.25,687.05,668.00,685.45,685.45,79462.00
"Nov 24, 2025",699.55,701.00,666.00,671.55,671.55,130104.00
"Nov 21, 2025",694.90,712.50,686.70,695.20,695.20,314361.00
"Nov 20, 2025",685.10,703.00,670.40,699.15,699.15,196438.00
"Nov 19, 2025",675.00,687.65,663.80,684.85,684.85,426634.00
"Nov 18, 2025",647.85,679.60,646.05,668.45,668.45,570775.00
"Nov 17, 2025",655.00,656.05,638.00,648.90,648.90,202524.00
"Nov 14, 2025",639.60,662.40,623.00,650.25,650.25,398244.00
"Nov 12, 2025",659.05,659.05,624.35,629.05,629.05,328602.00
"Nov 11, 2025",637.05,663.90,625.10,659.95,659.95,402618.00
"Nov 10, 2025",655.15,655.20,615.00,625.10,625.10,374439.00
"Nov 7, 2025",631.65,662.90,624.75,654.70,654.70,364190.00
"Nov 6, 2025",666.50,666.50,582.35,634.65,634.65,16398950.00
"Nov 4, 2025",691.65,708.20,661.25,667.55,667.55,141681.00
"Nov 3, 2025",702.95,702.95,686.45,691.00,691.00,58783.00
"Oct 31, 2025",717.70,722.45,686.50,691.55,691.55,163287.00
"Oct 30, 2025",710.00,720.25,677.05,707.75,707.75,298198.00
"Oct 29, 2025",743.30,743.30,700.45,706.95,706.95,115135.00
"Oct 28, 2025",748.80,766.00,731.25,736.30,736.30,189807.00
"Oct 27, 2025",705.90,749.40,705.90,734.00,734.00,270295.00
"Oct 24, 2025",737.05,744.25,693.60,706.15,706.15,299965.00
"Oct 23, 2025",770.00,773.75,713.75,733.05,733.05,560582.00
"Oct 21, 2025",735.95,790.00,725.05,767.05,767.05,208416.00
"Oct 20, 2025",689.70,730.45,683.50,722.10,722.10,222452.00
"Oct 17, 2025",677.00,702.90,672.60,693.00,693.00,407904.00
"Oct 16, 2025",636.15,694.95,636.15,688.40,688.40,981782.00
"Oct 15, 2025",616.35,661.20,612.80,635.65,635.65,261775.00
"Oct 14, 2025",616.35,627.10,604.00,614.75,614.75,218584.00
"Oct 13, 2025",600.60,623.00,595.80,611.50,611.50,303609.00
"Oct 10, 2025",624.40,628.00,591.15,595.05,595.05,144973.00
"Oct 9, 2025",643.60,645.15,621.30,623.80,623.80,216057.00
"Oct 8, 2025",630.00,678.50,624.70,639.65,639.65,526742.00
"Oct 7, 2025",620.75,639.90,615.20,629.55,629.55,380006.00
"Oct 6, 2025",605.70,624.55,582.10,620.55,620.55,261373.00
